alpha	lambda.max	QF.est	model.vs.null.pval
0	217.991201740087	0.691037735849057	0.00331598673605306
0.1	1.98625464203635	0.72562893081761	0.00197036032312304
0.2	0.993127321018176	0.731918238993711	0.00222700169332381
0.3	0.662084880678784	0.732704402515723	0.00244767591165896
0.4	0.520207912989683	0.733883647798742	0.00278290120497591
0.5	0.39725092840727	0.735062893081761	0.00264073555321002
0.6	0.331042440339392	0.735849056603774	0.00294917784144257
0.7	0.297261664565533	0.734276729559748	0.00323710033792566
0.8	0.260103956494842	0.735849056603774	0.00343766888665851
0.9	0.231203516884304	0.737421383647799	0.00346731628095818
1	0.198625464203635	0.73624213836478	0.00370340649199535
